ダウンロードした時刻：2023/08/29 04:55:17

,札幌,札幌,札幌,仙台,仙台,仙台,名古屋,名古屋,名古屋,東京,東京,東京,広島,広島,広島,大阪,大阪,大阪,福岡,福岡,福岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1971/3/10,-2.9,8,1,-0.5,8,1,2.3,8,1,3.5,8,1,2.2,8,1,2.3,8,1,4.5,8,1
1971/3/11,-3.3,8,1,0.7,8,1,2.2,8,1,4.7,8,1,4.3,8,1,2.8,8,1,5.5,8,1
1971/3/12,-3.0,8,1,1.2,8,1,4.3,8,1,4.9,8,1,5.8,8,1,4.4,8,1,6.0,8,1
1971/3/13,-2.1,8,1,1.8,8,1,5.4,8,1,6.3,8,1,4.8,8,1,5.4,8,1,5.8,8,1
1971/3/14,-1.7,8,1,1.4,8,1,3.4,8,1,5.4,8,1,3.2,8,1,3.0,8,1,3.8,8,1
1971/3/15,1.3,8,1,3.5,8,1,4.5,8,1,6.8,8,1,5.0,8,1,4.2,8,1,6.1,8,1
1971/3/16,-0.7,8,1,6.0,8,1,7.0,8,1,8.5,8,1,6.2,8,1,6.8,8,1,8.9,8,1
1971/3/17,-1.7,8,1,3.7,8,1,7.1,8,1,9.8,8,1,7.2,8,1,7.1,8,1,9.0,8,1
1971/3/18,1.2,8,1,5.4,8,1,7.8,8,1,9.1,8,1,7.0,8,1,7.8,8,1,7.7,8,1
1971/3/19,2.8,8,1,7.8,8,1,8.8,8,1,11.9,8,1,8.2,8,1,9.0,8,1,8.6,8,1
1971/3/20,4.2,8,1,7.8,8,1,10.9,8,1,12.3,8,1,8.7,8,1,10.4,8,1,11.0,8,1
1971/3/21,2.8,8,1,8.8,8,1,13.4,8,1,13.2,8,1,11.0,8,1,12.4,8,1,12.7,8,1
1971/3/22,0.5,8,1,9.6,8,1,12.6,8,1,13.4,8,1,10.5,8,1,12.4,8,1,10.8,8,1
1971/3/23,-1.9,8,1,2.9,8,1,6.9,8,1,5.0,8,1,7.5,8,1,6.0,8,1,9.8,8,1
1971/3/24,-2.8,8,1,1.5,8,1,5.6,8,1,5.0,8,1,5.0,8,1,5.4,8,1,7.5,8,1
1971/3/25,1.4,8,1,2.9,8,1,7.3,8,1,7.8,8,1,6.7,8,1,7.8,8,1,8.7,8,1
1971/3/26,3.2,8,1,8.3,8,1,11.2,8,1,11.4,8,1,10.1,8,1,11.1,8,1,13.4,8,1
1971/3/27,6.5,8,1,10.5,8,1,12.7,8,1,14.5,8,1,12.4,8,1,12.4,8,1,12.9,8,1
1971/3/28,6.6,8,1,9.1,8,1,12.1,8,1,14.2,8,1,11.7,8,1,13.5,8,1,15.1,8,1
1971/3/29,6.8,8,1,12.4,8,1,14.1,8,1,16.1,8,1,13.4,8,1,15.0,8,1,16.1,8,1
1971/3/30,5.8,8,1,10.2,8,1,12.4,8,1,14.7,8,1,11.9,8,1,11.7,8,1,12.3,8,1
1971/3/31,6.9,8,1,6.4,8,1,11.4,8,1,9.6,8,1,10.8,8,1,12.0,8,1,12.4,8,1
1971/4/1,7.5,8,1,8.6,8,1,15.0,8,1,12.5,8,1,13.6,8,1,14.1,8,1,14.3,8,1
1971/4/2,4.2,8,1,9.0,8,1,13.9,8,1,14.4,8,1,13.0,8,1,13.1,8,1,11.6,8,1
1971/4/3,3.0,8,1,6.3,8,1,12.9,8,1,9.7,8,1,11.3,8,1,12.0,8,1,11.6,8,1
1971/4/4,4.6,8,1,5.1,8,1,12.7,8,1,8.5,8,1,12.9,8,1,11.3,8,1,12.0,8,1
1971/4/5,5.4,8,1,7.8,8,1,12.5,8,1,12.5,8,1,13.5,8,1,13.6,8,1,14.8,8,1
1971/4/6,3.4,8,1,9.0,8,1,11.9,8,1,13.6,8,1,15.6,8,1,12.8,8,1,13.2,8,1
1971/4/7,2.9,8,1,6.8,8,1,12.3,8,1,10.9,8,1,12.1,8,1,13.1,8,1,13.3,8,1
1971/4/8,4.0,8,1,9.5,8,1,13.4,8,1,12.8,8,1,14.6,8,1,15.6,8,1,17.0,8,1
1971/4/9,5.9,8,1,12.9,8,1,12.9,8,1,15.8,8,1,12.3,8,1,12.9,8,1,12.3,8,1
1971/4/10,4.6,8,1,7.9,8,1,10.0,8,1,11.4,8,1,9.1,8,1,9.8,8,1,9.9,8,1
1971/4/11,4.0,8,1,5.7,8,1,10.0,8,1,10.9,8,1,10.1,8,1,9.7,8,1,11.5,8,1
1971/4/12,9.0,8,1,8.4,8,1,11.3,8,1,11.8,8,1,12.6,8,1,12.6,8,1,14.0,8,1
1971/4/13,11.2,8,1,13.5,8,1,13.7,8,1,14.3,8,1,14.4,8,1,14.7,8,1,17.1,8,1
1971/4/14,6.9,8,1,13.9,8,1,16.6,8,1,15.8,8,1,15.2,8,1,16.0,8,1,17.1,8,1
1971/4/15,5.8,8,1,9.1,8,1,16.5,8,1,13.5,8,1,14.5,8,1,15.5,8,1,14.2,8,1
1971/4/16,7.2,8,1,8.6,8,1,12.4,8,1,12.7,8,1,14.5,8,1,13.0,8,1,14.5,8,1
1971/4/17,4.1,8,1,10.5,8,1,10.9,8,1,11.6,8,1,11.3,8,1,10.8,8,1,12.0,8,1
1971/4/18,8.4,8,1,9.5,8,1,11.7,8,1,12.0,8,1,11.2,8,1,11.0,8,1,12.2,8,1
1971/4/19,9.8,8,1,9.8,8,1,12.1,8,1,12.4,8,1,12.2,8,1,12.6,8,1,12.9,8,1
1971/4/20,8.2,8,1,12.7,8,1,14.5,8,1,14.3,8,1,12.8,8,1,14.4,8,1,13.9,8,1
1971/4/21,11.1,8,1,11.8,8,1,16.4,8,1,17.3,8,1,14.4,8,1,16.4,8,1,14.3,8,1
1971/4/22,14.6,8,1,12.9,8,1,13.2,8,1,14.4,8,1,15.7,8,1,14.0,8,1,15.6,8,1
1971/4/23,6.9,8,1,13.0,8,1,15.3,8,1,17.9,8,1,16.3,8,1,16.1,8,1,16.6,8,1
1971/4/24,7.0,8,1,9.0,8,1,15.1,8,1,15.4,8,1,17.3,8,1,16.9,8,1,16.8,8,1
1971/4/25,5.2,8,1,10.3,8,1,15.4,8,1,16.5,8,1,16.7,8,1,15.4,8,1,16.6,8,1
1971/4/26,6.8,8,1,11.2,8,1,16.9,8,1,16.3,8,1,17.1,8,1,16.1,8,1,15.9,8,1
1971/4/27,3.7,8,1,10.1,8,1,14.8,8,1,15.7,8,1,15.0,8,1,14.9,8,1,18.1,8,1
1971/4/28,4.2,8,1,7.9,8,1,13.8,8,1,13.3,8,1,11.7,8,1,14.2,8,1,17.0,8,1
1971/4/29,6.9,8,1,8.0,8,1,11.7,8,1,12.9,8,1,14.8,8,1,14.7,8,1,14.6,8,1
1971/4/30,6.6,8,1,7.2,8,1,13.1,8,1,15.1,8,1,13.8,8,1,14.1,8,1,13.6,8,1
1971/5/1,7.0,8,1,7.3,8,1,14.0,8,1,13.6,8,1,13.5,8,1,14.3,8,1,13.7,8,1
1971/5/2,4.8,8,1,6.7,8,1,16.1,8,1,12.9,8,1,15.2,8,1,15.9,8,1,19.1,8,1
1971/5/3,5.2,8,1,7.8,8,1,16.9,8,1,14.1,8,1,17.1,8,1,17.2,8,1,19.9,8,1
1971/5/4,3.0,8,1,8.4,8,1,13.7,8,1,12.6,8,1,15.0,8,1,15.0,8,1,14.7,8,1
1971/5/5,3.3,8,1,10.2,8,1,13.7,8,1,16.3,8,1,13.3,8,1,12.5,8,1,13.0,8,1
1971/5/6,4.7,8,1,7.3,8,1,13.0,8,1,11.6,8,1,13.1,8,1,12.7,8,1,14.2,8,1
1971/5/7,4.2,8,1,6.7,8,1,15.4,8,1,13.7,8,1,15.5,8,1,15.1,8,1,17.1,8,1
1971/5/8,4.4,8,1,7.4,8,1,14.3,8,1,13.8,8,1,15.2,8,1,14.3,8,1,14.7,8,1
1971/5/9,7.2,8,1,8.3,8,1,14.1,8,1,13.2,8,1,15.3,8,1,14.7,8,1,15.1,8,1
1971/5/10,8.4,8,1,11.1,8,1,14.8,8,1,15.5,8,1,18.1,8,1,17.8,8,1,19.2,8,1
1971/5/11,11.8,8,1,15.4,8,1,19.0,8,1,17.2,8,1,19.1,8,1,19.7,8,1,19.9,8,1
1971/5/12,12.7,8,1,19.1,8,1,19.8,8,1,19.6,8,1,19.6,8,1,20.1,8,1,19.7,8,1
1971/5/13,9.3,8,1,18.8,8,1,19.0,8,1,18.5,8,1,20.3,8,1,19.8,8,1,20.7,8,1
1971/5/14,11.2,8,1,15.9,8,1,18.7,8,1,19.4,8,1,18.5,8,1,17.9,8,1,17.4,8,1
1971/5/15,12.9,8,1,15.8,8,1,18.5,8,1,18.6,8,1,18.3,8,1,18.6,8,1,17.8,8,1
1972/3/10,-1.4,8,1,3.4,8,1,6.6,8,1,7.6,8,1,8.4,8,1,7.4,8,1,8.8,8,1
1972/3/11,-0.8,8,1,3.5,8,1,7.2,8,1,8.4,8,1,6.6,8,1,6.5,8,1,9.1,8,1
1972/3/12,-0.2,8,1,3.0,8,1,7.7,8,1,5.3,8,1,7.3,8,1,6.3,8,1,8.3,8,1
1972/3/13,0.1,8,1,2.5,8,1,5.9,8,1,6.1,8,1,5.3,8,1,5.6,8,1,6.3,8,1
1972/3/14,-0.4,8,1,2.9,8,1,5.0,8,1,6.5,8,1,5.2,8,1,6.0,8,1,8.4,8,1
1972/3/15,-0.7,8,1,2.3,8,1,5.4,8,1,6.1,8,1,7.4,8,1,6.2,8,1,8.7,8,1
1972/3/16,-0.6,8,1,4.2,8,1,7.1,8,1,7.5,8,1,5.4,8,1,7.3,8,1,9.7,8,1
1972/3/17,1.6,8,1,6.3,8,1,8.1,8,1,10.9,8,1,10.8,8,1,10.1,8,1,12.5,8,1
1972/3/18,2.4,8,1,8.0,8,1,12.7,8,1,12.2,8,1,13.1,8,1,13.9,8,1,13.0,8,1
1972/3/19,2.8,8,1,7.9,8,1,14.8,8,1,14.1,8,1,12.3,8,1,15.3,8,1,14.8,8,1
1972/3/20,1.4,8,1,9.3,8,1,15.5,8,1,17.0,8,1,14.0,8,1,16.3,8,1,15.1,8,1
1972/3/21,-0.9,8,1,5.3,8,1,9.8,8,1,11.6,8,1,9.8,8,1,8.9,8,1,9.1,8,1
1972/3/22,0.8,8,1,4.2,8,1,9.3,8,1,9.4,8,1,8.1,8,1,8.9,8,1,9.7,8,1
1972/3/23,4.4,8,1,10.5,8,1,10.7,8,1,12.2,8,1,11.1,8,1,11.4,8,1,15.9,8,1
1972/3/24,3.0,8,1,9.2,8,1,13.7,8,1,14.5,8,1,15.5,8,1,12.6,8,1,12.5,8,1
1972/3/25,4.0,8,1,6.0,8,1,10.8,8,1,10.4,8,1,9.9,8,1,10.4,8,1,10.2,8,1
1972/3/26,2.9,8,1,4.7,8,1,10.2,8,1,8.0,8,1,12.1,8,1,9.9,8,1,10.7,8,1
1972/3/27,0.3,8,1,7.8,8,1,11.3,8,1,11.2,8,1,9.8,8,1,10.9,8,1,10.8,8,1
1972/3/28,1.5,8,1,7.0,8,1,12.0,8,1,12.4,8,1,11.4,8,1,12.2,8,1,13.9,8,1
1972/3/29,5.2,8,1,12.1,8,1,12.5,8,1,13.9,8,1,13.0,8,1,14.0,8,1,17.1,8,1
1972/3/30,3.0,8,1,11.2,8,1,14.9,8,1,16.4,8,1,14.3,8,1,14.9,8,1,15.6,8,1
1972/3/31,-0.6,8,1,10.3,8,1,13.5,8,1,18.4,8,1,8.4,8,1,11.5,8,1,7.0,8,1
1972/4/1,-1.2,8,1,4.0,8,1,4.0,8,1,8.4,8,1,4.1,8,1,4.5,8,1,4.7,8,1
1972/4/2,-0.9,8,1,3.3,8,1,5.5,8,1,7.4,8,1,6.1,8,1,5.5,8,1,6.9,8,1
1972/4/3,1.5,8,1,5.3,8,1,9.4,8,1,9.4,8,1,9.0,8,1,10.5,8,1,12.6,8,1
1972/4/4,6.1,8,1,9.0,8,1,14.3,8,1,10.5,8,1,10.6,8,1,13.9,8,1,14.2,8,1
1972/4/5,4.8,8,1,11.9,8,1,15.4,8,1,14.9,8,1,15.4,8,1,17.0,8,1,15.3,8,1
1972/4/6,3.5,8,1,13.3,8,1,15.5,8,1,16.4,8,1,15.0,8,1,16.7,8,1,13.2,8,1
1972/4/7,3.2,8,1,9.0,8,1,13.5,8,1,14.1,8,1,13.6,8,1,13.1,8,1,12.0,8,1
1972/4/8,1.7,8,1,4.6,8,1,9.2,8,1,7.7,8,1,8.5,8,1,8.1,8,1,9.5,8,1
1972/4/9,1.7,8,1,3.4,8,1,8.2,8,1,5.3,8,1,9.0,8,1,8.1,8,1,7.9,8,1
1972/4/10,3.2,8,1,5.3,8,1,8.6,8,1,7.7,8,1,8.2,8,1,9.0,8,1,8.8,8,1
1972/4/11,5.1,8,1,6.8,8,1,9.1,8,1,10.3,8,1,10.3,8,1,8.8,8,1,11.5,8,1
1972/4/12,6.1,8,1,6.8,8,1,10.8,8,1,8.0,8,1,11.3,8,1,10.0,8,1,11.9,8,1
1972/4/13,6.0,8,1,9.6,8,1,11.9,8,1,12.0,8,1,11.2,8,1,11.6,8,1,12.1,8,1
1972/4/14,7.5,8,1,8.0,8,1,13.6,8,1,13.1,8,1,13.3,8,1,14.5,8,1,15.1,8,1
1972/4/15,9.9,8,1,9.2,8,1,13.3,8,1,13.5,8,1,13.9,8,1,14.1,8,1,16.0,8,1
1972/4/16,9.0,8,1,14.9,8,1,17.6,8,1,16.5,8,1,15.3,8,1,16.7,8,1,15.9,8,1
1972/4/17,11.1,8,1,11.5,8,1,16.2,8,1,16.9,8,1,16.5,8,1,17.0,8,1,19.0,8,1
1972/4/18,9.3,8,1,13.9,8,1,19.9,8,1,18.4,8,1,19.5,8,1,18.7,8,1,19.1,8,1
1972/4/19,6.8,8,1,13.2,8,1,19.1,8,1,19.4,8,1,20.6,8,1,18.9,8,1,22.6,8,1
1972/4/20,5.0,8,1,12.8,8,1,16.3,8,1,18.9,8,1,15.3,8,1,15.8,8,1,14.6,8,1
1972/4/21,4.3,8,1,11.3,8,1,13.9,8,1,11.3,8,1,13.3,8,1,12.6,8,1,12.7,8,1
1972/4/22,7.2,8,1,8.7,8,1,13.7,8,1,12.1,8,1,13.0,8,1,13.7,8,1,12.5,8,1
1972/4/23,8.3,8,1,10.4,8,1,14.3,8,1,11.2,8,1,14.4,8,1,16.1,8,1,13.4,8,1
1972/4/24,8.8,8,1,11.0,8,1,15.2,8,1,14.4,8,1,15.1,8,1,15.0,8,1,13.8,8,1
1972/4/25,9.5,8,1,10.1,8,1,15.5,8,1,14.0,8,1,15.0,8,1,15.5,8,1,15.2,8,1
1972/4/26,10.9,8,1,13.7,8,1,15.3,8,1,15.0,8,1,14.8,8,1,15.8,8,1,15.5,8,1
1972/4/27,13.4,8,1,15.0,8,1,17.7,8,1,17.0,8,1,15.8,8,1,17.3,8,1,16.1,8,1
1972/4/28,13.3,8,1,17.0,8,1,18.8,8,1,19.1,8,1,16.0,8,1,17.5,8,1,17.6,8,1
1972/4/29,15.3,8,1,20.3,8,1,19.7,8,1,19.7,8,1,17.0,8,1,19.1,8,1,17.5,8,1
1972/4/30,15.3,8,1,18.1,8,1,17.6,8,1,19.4,8,1,15.3,8,1,17.5,8,1,16.8,8,1
1972/5/1,9.6,8,1,16.3,8,1,17.6,8,1,21.1,8,1,17.8,8,1,18.0,8,1,16.3,8,1
1972/5/2,6.4,8,1,12.2,8,1,14.3,8,1,18.9,8,1,15.3,8,1,15.4,8,1,14.2,8,1
1972/5/3,9.4,8,1,11.6,8,1,13.8,8,1,14.8,8,1,14.8,8,1,15.6,8,1,16.9,8,1
1972/5/4,13.5,8,1,14.6,8,1,16.3,8,1,17.5,8,1,14.5,8,1,16.6,8,1,19.4,8,1
1972/5/5,13.3,8,1,14.1,8,1,17.4,8,1,19.1,8,1,17.3,8,1,18.6,8,1,16.1,8,1
1972/5/6,12.8,8,1,16.6,8,1,18.2,8,1,19.1,8,1,16.1,8,1,18.3,8,1,16.5,8,1
1972/5/7,14.3,8,1,15.2,8,1,18.9,8,1,19.3,8,1,18.7,8,1,19.1,8,1,19.7,8,1
1972/5/8,12.7,8,1,17.8,8,1,18.6,8,1,20.8,8,1,17.6,8,1,18.4,8,1,23.2,8,1
1972/5/9,11.1,8,1,15.0,8,1,17.9,8,1,20.8,8,1,19.5,8,1,18.9,8,1,17.9,8,1
1972/5/10,12.4,8,1,13.8,8,1,16.6,8,1,16.8,8,1,17.7,8,1,17.5,8,1,18.4,8,1
1972/5/11,11.8,8,1,15.2,8,1,19.7,8,1,18.2,8,1,18.5,8,1,20.6,8,1,20.6,8,1
1972/5/12,9.5,8,1,17.6,8,1,20.9,8,1,20.4,8,1,19.2,8,1,21.5,8,1,19.2,8,1
1972/5/13,10.9,8,1,13.7,8,1,17.9,8,1,17.8,8,1,16.6,8,1,18.2,8,1,19.2,8,1
1972/5/14,13.0,8,1,14.9,8,1,16.6,8,1,16.4,8,1,18.2,8,1,19.7,8,1,18.5,8,1
1972/5/15,13.3,8,1,18.4,8,1,19.3,8,1,19.9,8,1,18.9,8,1,19.5,8,1,17.2,8,1
1973/3/10,-2.6,8,1,2.6,8,1,5.7,8,1,6.1,8,1,5.4,8,1,5.9,8,1,8.7,8,1
1973/3/11,-3.4,8,1,3.1,8,1,7.1,8,1,7.6,8,1,6.5,8,1,7.5,8,1,8.3,8,1
1973/3/12,-3.0,8,1,4.0,8,1,7.6,8,1,6.5,8,1,9.4,8,1,10.3,8,1,10.2,8,1
1973/3/13,-2.6,8,1,5.0,8,1,7.8,8,1,7.8,8,1,8.7,8,1,9.2,8,1,10.5,8,1
1973/3/14,-4.3,8,1,1.8,8,1,5.3,8,1,6.2,8,1,6.2,8,1,6.0,8,1,8.7,8,1
1973/3/15,-6.7,8,1,1.3,8,1,4.9,8,1,4.6,8,1,5.8,8,1,4.6,8,1,8.3,8,1
1973/3/16,-4.8,8,1,1.7,8,1,4.5,8,1,4.3,8,1,5.5,8,1,5.9,8,1,8.2,8,1
1973/3/17,-3.6,8,1,3.6,8,1,5.4,8,1,6.3,8,1,4.5,8,1,6.9,8,1,8.6,8,1
1973/3/18,-1.4,8,1,2.6,8,1,5.7,8,1,6.4,8,1,4.6,8,1,6.2,8,1,8.8,8,1
1973/3/19,-0.8,8,1,1.5,8,1,4.9,8,1,5.8,8,1,7.0,8,1,7.0,8,1,10.7,8,1
1973/3/20,-2.0,8,1,2.7,8,1,7.4,8,1,7.8,8,1,8.9,8,1,9.7,8,1,13.6,8,1
1973/3/21,-1.3,8,1,6.3,8,1,8.8,8,1,10.4,8,1,8.6,8,1,9.8,8,1,10.1,8,1
1973/3/22,-0.4,8,1,5.4,8,1,7.3,8,1,9.5,8,1,6.9,8,1,8.5,8,1,10.0,8,1
1973/3/23,0.5,8,1,7.1,8,1,8.7,8,1,11.3,8,1,9.1,8,1,10.3,8,1,12.5,8,1
1973/3/24,0.8,8,1,5.4,8,1,8.4,8,1,12.5,8,1,9.8,8,1,10.6,8,1,11.2,8,1
1973/3/25,-2.8,8,1,2.1,8,1,4.3,8,1,7.1,8,1,6.7,8,1,5.7,8,1,7.2,8,1
1973/3/26,-3.5,8,1,1.7,8,1,4.6,8,1,6.3,8,1,5.8,8,1,6.1,8,1,6.9,8,1
1973/3/27,-1.9,8,1,2.8,8,1,7.2,8,1,7.7,8,1,8.5,8,1,8.8,8,1,12.3,8,1
1973/3/28,-0.1,8,1,2.6,8,1,9.9,8,1,14.0,8,1,15.1,8,1,14.6,8,1,20.4,8,1
1973/3/29,1.4,8,1,6.0,8,1,14.4,8,1,12.9,8,1,15.8,8,1,17.1,8,1,19.1,8,1
1973/3/30,4.3,8,1,8.5,8,1,16.9,8,1,14.1,8,1,14.9,8,1,17.9,8,1,16.0,8,1
