date,Sapporo,Sendai,Nagoya,Tokyo,Hiroshima,Osaka,Fukuoka
1971/3/10,-2.9,-0.5,2.3,3.5,2.2,2.3,4.5
1971/3/11,-3.3,0.7,2.2,4.7,4.3,2.8,5.5
1971/3/12,-3.0,1.2,4.3,4.9,5.8,4.4,6.0
1971/3/13,-2.1,1.8,5.4,6.3,4.8,5.4,5.8
1971/3/14,-1.7,1.4,3.4,5.4,3.2,3.0,3.8
1971/3/15,1.3,3.5,4.5,6.8,5.0,4.2,6.1
1971/3/16,-0.7,6.0,7.0,8.5,6.2,6.8,8.9
1971/3/17,-1.7,3.7,7.1,9.8,7.2,7.1,9.0
1971/3/18,1.2,5.4,7.8,9.1,7.0,7.8,7.7
1971/3/19,2.8,7.8,8.8,11.9,8.2,9.0,8.6
1971/3/20,4.2,7.8,10.9,12.3,8.7,10.4,11.0
1971/3/21,2.8,8.8,13.4,13.2,11.0,12.4,12.7
1971/3/22,0.5,9.6,12.6,13.4,10.5,12.4,10.8
1971/3/23,-1.9,2.9,6.9,5.0,7.5,6.0,9.8
1971/3/24,-2.8,1.5,5.6,5.0,5.0,5.4,7.5
1971/3/25,1.4,2.9,7.3,7.8,6.7,7.8,8.7
1971/3/26,3.2,8.3,11.2,11.4,10.1,11.1,13.4
1971/3/27,6.5,10.5,12.7,14.5,12.4,12.4,12.9
1971/3/28,6.6,9.1,12.1,14.2,11.7,13.5,15.1
1971/3/29,6.8,12.4,14.1,16.1,13.4,15.0,16.1
1971/3/30,5.8,10.2,12.4,14.7,11.9,11.7,12.3
1971/3/31,6.9,6.4,11.4,9.6,10.8,12.0,12.4
1971/4/1,7.5,8.6,15.0,12.5,13.6,14.1,14.3
1971/4/2,4.2,9.0,13.9,14.4,13.0,13.1,11.6
1971/4/3,3.0,6.3,12.9,9.7,11.3,12.0,11.6
1971/4/4,4.6,5.1,12.7,8.5,12.9,11.3,12.0
1971/4/5,5.4,7.8,12.5,12.5,13.5,13.6,14.8
1971/4/6,3.4,9.0,11.9,13.6,15.6,12.8,13.2
1971/4/7,2.9,6.8,12.3,10.9,12.1,13.1,13.3
1971/4/8,4.0,9.5,13.4,12.8,14.6,15.6,17.0
1971/4/9,5.9,12.9,12.9,15.8,12.3,12.9,12.3
1971/4/10,4.6,7.9,10.0,11.4,9.1,9.8,9.9
1971/4/11,4.0,5.7,10.0,10.9,10.1,9.7,11.5
1971/4/12,9.0,8.4,11.3,11.8,12.6,12.6,14.0
1971/4/13,11.2,13.5,13.7,14.3,14.4,14.7,17.1
1971/4/14,6.9,13.9,16.6,15.8,15.2,16.0,17.1
1971/4/15,5.8,9.1,16.5,13.5,14.5,15.5,14.2
1971/4/16,7.2,8.6,12.4,12.7,14.5,13.0,14.5
1971/4/17,4.1,10.5,10.9,11.6,11.3,10.8,12.0
1971/4/18,8.4,9.5,11.7,12.0,11.2,11.0,12.2
1971/4/19,9.8,9.8,12.1,12.4,12.2,12.6,12.9
1971/4/20,8.2,12.7,14.5,14.3,12.8,14.4,13.9
1971/4/21,11.1,11.8,16.4,17.3,14.4,16.4,14.3
1971/4/22,14.6,12.9,13.2,14.4,15.7,14.0,15.6
1971/4/23,6.9,13.0,15.3,17.9,16.3,16.1,16.6
1971/4/24,7.0,9.0,15.1,15.4,17.3,16.9,16.8
1971/4/25,5.2,10.3,15.4,16.5,16.7,15.4,16.6
1971/4/26,6.8,11.2,16.9,16.3,17.1,16.1,15.9
1971/4/27,3.7,10.1,14.8,15.7,15.0,14.9,18.1
1971/4/28,4.2,7.9,13.8,13.3,11.7,14.2,17.0
1971/4/29,6.9,8.0,11.7,12.9,14.8,14.7,14.6
1971/4/30,6.6,7.2,13.1,15.1,13.8,14.1,13.6
1971/5/1,7.0,7.3,14.0,13.6,13.5,14.3,13.7
1971/5/2,4.8,6.7,16.1,12.9,15.2,15.9,19.1
1971/5/3,5.2,7.8,16.9,14.1,17.1,17.2,19.9
1971/5/4,3.0,8.4,13.7,12.6,15.0,15.0,14.7
1971/5/5,3.3,10.2,13.7,16.3,13.3,12.5,13.0
1971/5/6,4.7,7.3,13.0,11.6,13.1,12.7,14.2
1971/5/7,4.2,6.7,15.4,13.7,15.5,15.1,17.1
1971/5/8,4.4,7.4,14.3,13.8,15.2,14.3,14.7
1971/5/9,7.2,8.3,14.1,13.2,15.3,14.7,15.1
1971/5/10,8.4,11.1,14.8,15.5,18.1,17.8,19.2
1971/5/11,11.8,15.4,19.0,17.2,19.1,19.7,19.9
1971/5/12,12.7,19.1,19.8,19.6,19.6,20.1,19.7
1971/5/13,9.3,18.8,19.0,18.5,20.3,19.8,20.7
1971/5/14,11.2,15.9,18.7,19.4,18.5,17.9,17.4
1971/5/15,12.9,15.8,18.5,18.6,18.3,18.6,17.8
1972/3/10,-1.4,3.4,6.6,7.6,8.4,7.4,8.8
1972/3/11,-0.8,3.5,7.2,8.4,6.6,6.5,9.1
1972/3/12,-0.2,3.0,7.7,5.3,7.3,6.3,8.3
1972/3/13,0.1,2.5,5.9,6.1,5.3,5.6,6.3
1972/3/14,-0.4,2.9,5.0,6.5,5.2,6.0,8.4
1972/3/15,-0.7,2.3,5.4,6.1,7.4,6.2,8.7
1972/3/16,-0.6,4.2,7.1,7.5,5.4,7.3,9.7
1972/3/17,1.6,6.3,8.1,10.9,10.8,10.1,12.5
1972/3/18,2.4,8.0,12.7,12.2,13.1,13.9,13.0
1972/3/19,2.8,7.9,14.8,14.1,12.3,15.3,14.8
1972/3/20,1.4,9.3,15.5,17.0,14.0,16.3,15.1
1972/3/21,-0.9,5.3,9.8,11.6,9.8,8.9,9.1
1972/3/22,0.8,4.2,9.3,9.4,8.1,8.9,9.7
1972/3/23,4.4,10.5,10.7,12.2,11.1,11.4,15.9
1972/3/24,3.0,9.2,13.7,14.5,15.5,12.6,12.5
1972/3/25,4.0,6.0,10.8,10.4,9.9,10.4,10.2
1972/3/26,2.9,4.7,10.2,8.0,12.1,9.9,10.7
1972/3/27,0.3,7.8,11.3,11.2,9.8,10.9,10.8
1972/3/28,1.5,7.0,12.0,12.4,11.4,12.2,13.9
1972/3/29,5.2,12.1,12.5,13.9,13.0,14.0,17.1
1972/3/30,3.0,11.2,14.9,16.4,14.3,14.9,15.6
1972/3/31,-0.6,10.3,13.5,18.4,8.4,11.5,7.0
1972/4/1,-1.2,4.0,4.0,8.4,4.1,4.5,4.7
1972/4/2,-0.9,3.3,5.5,7.4,6.1,5.5,6.9
1972/4/3,1.5,5.3,9.4,9.4,9.0,10.5,12.6
1972/4/4,6.1,9.0,14.3,10.5,10.6,13.9,14.2
1972/4/5,4.8,11.9,15.4,14.9,15.4,17.0,15.3
1972/4/6,3.5,13.3,15.5,16.4,15.0,16.7,13.2
1972/4/7,3.2,9.0,13.5,14.1,13.6,13.1,12.0
1972/4/8,1.7,4.6,9.2,7.7,8.5,8.1,9.5
1972/4/9,1.7,3.4,8.2,5.3,9.0,8.1,7.9
1972/4/10,3.2,5.3,8.6,7.7,8.2,9.0,8.8
1972/4/11,5.1,6.8,9.1,10.3,10.3,8.8,11.5
1972/4/12,6.1,6.8,10.8,8.0,11.3,10.0,11.9
1972/4/13,6.0,9.6,11.9,12.0,11.2,11.6,12.1
1972/4/14,7.5,8.0,13.6,13.1,13.3,14.5,15.1
1972/4/15,9.9,9.2,13.3,13.5,13.9,14.1,16.0
1972/4/16,9.0,14.9,17.6,16.5,15.3,16.7,15.9
1972/4/17,11.1,11.5,16.2,16.9,16.5,17.0,19.0
1972/4/18,9.3,13.9,19.9,18.4,19.5,18.7,19.1
1972/4/19,6.8,13.2,19.1,19.4,20.6,18.9,22.6
1972/4/20,5.0,12.8,16.3,18.9,15.3,15.8,14.6
1972/4/21,4.3,11.3,13.9,11.3,13.3,12.6,12.7
1972/4/22,7.2,8.7,13.7,12.1,13.0,13.7,12.5
1972/4/23,8.3,10.4,14.3,11.2,14.4,16.1,13.4
1972/4/24,8.8,11.0,15.2,14.4,15.1,15.0,13.8
1972/4/25,9.5,10.1,15.5,14.0,15.0,15.5,15.2
